Agriculture_value_added_GDP_percentage,Primary School age Children_out_of_school,GPD_Per_Capita_Percentage,Human_Development_Index,Trade_GDP,NumberOfConflicts
-0.225435905,-0.464315894,0.502649123,1.051520921,-0.284000047,0.956188373
-0.265882761,-0.669751561,0.58624358,-1.307591426,-0.370947579,0.292476899
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,0.133299843
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,0.146801468
0.894104683,0.97373378,0.112642862,0.240703379,0.06587001,-0.23906077
0.937988513,-0.002085641,-0.118464733,0.257001219,0.084430743,-0.238350159
0.381542401,-0.464315894,0.070188697,0.277373519,0.191258226,-0.23906077
0.343145379,-0.515674811,0.136050173,0.301820279,0.008631562,-0.239771382
0.317587788,-0.207521309,0.058377022,0.350713799,0.035656912,-0.238350159
0.402880418,-0.207521309,-0.037560274,0.387383939,-0.086222778,-0.239771382
0.331562457,-0.207521309,-0.20014199,0.415905159,-0.144344471,-0.23906077
0.451818728,-0.36159806,-0.061388702,0.44442638,-0.193842013,-0.23906077
0.438178277,-0.156162392,-0.423415035,0.46072422,-0.205494056,-0.23906077
0.478602334,-0.310239143,-0.111733507,0.47702206,-0.183706924,-0.239771382
0.443155598,-0.104803475,0.171974312,0.50146882,0.046790109,-0.238350159
0.419153513,-0.464315894,0.027570527,0.51776666,0.019284626,-0.239771382
0.403483806,-0.669751561,-0.320885893,0.52999004,-0.060627775,-0.23906077
0.344667231,-0.721110478,-0.347991401,0.54221342,0.113878998,-0.233375876
0.333984923,-0.721110478,-0.232438648,0.55851126,-5.82E-05,-0.235507711
0.305383977,-0.772469395,0.020035263,0.59110694,0.086025298,-0.229112204
0.25041331,-0.926546146,0.34549446,0.62777708,0.292090778,-0.233375876
0.259671613,-0.772469395,0.232859963,0.65222384,0.440858807,-0.235507711
0.316481711,-0.875187229,-0.346433987,0.66852168,0.261714003,-0.234797099
0.329531382,-0.926546146,-0.08810436,-1.307591426,0.307699193,-0.226980369
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,-0.21205752
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,-0.219163638
-0.871292563,0.049273276,0.565107291,1.022999701,1.115814657,-0.239771382
-0.892622603,-0.156162392,-0.417869293,0.990404021,0.973486057,-0.239771382
-0.913338147,-0.156162392,-0.205708951,0.974106181,0.764807065,-0.239771382
-0.917580572,-0.258880226,0.201033091,1.055595381,0.636634539,-0.239771382
-0.941609082,-0.310239143,-0.066307382,1.108563362,0.745301222,-0.236218323
-0.969525867,-0.258880226,0.180108056,1.177829182,0.692849623,-0.238350159
-0.957229677,-0.310239143,0.693881065,1.259318382,0.647168046,-0.23906077
-0.94398087,-0.258880226,0.671290478,1.324509742,0.831725126,-0.23906077
-0.925266849,-0.258880226,0.381708755,1.385626643,0.865632754,-0.23906077
-0.904491152,-0.310239143,-1.539316495,1.418222323,0.654563566,-0.23906077
-0.927997531,-0.207521309,0.686497948,1.454892463,0.827414419,-0.238350159
-0.931747913,-0.104803475,0.334192048,1.491562603,0.963372959,-0.238350159
-0.940344296,-0.669751561,1.052630689,1.532307203,1.417684095,-0.239771382
-0.951628153,-0.464315894,0.062843468,1.536381663,1.245619362,-0.237639547
-0.94706664,-0.515674811,-0.739902213,1.536381663,1.056683706,-0.237639547
-0.960493253,-0.772469395,0.085727639,-1.307591426,0.885190865,-0.237639547
0.948695636,1.6413997,0.227116445,-1.307591426,-0.382266776,-0.237639547
1.103165626,2.360424537,0.359249913,-1.307591426,-0.308121026,-0.238350159
0.71911785,2.309065621,0.369557221,-1.307591426,-0.460762911,-0.218453027
0.729914471,2.257706704,-0.393335991,-0.154519242,-0.443379366,-0.224848533
0.964036779,2.206347787,0.256593018,-1.307591426,-0.488479843,-0.236218323
